Timestamp,Your Faculty :,Write your ID: ,What is your department? ,What is your level? ,gender,What is your CGPA? ,How well do you understand the theoretical part of a course? ,The provided material (Only by doctors or teaching assistants) is straight to the point and clear. ,The provided material (Only by doctors or teaching assistants) Include enough examples and practice materials ,The provided material (Only by doctors or teaching assistants) is overall sufficient and reliable for studying. ,Do you have an idea to improve the quality of the provided material? ,Course content is suitable for the semester timeframe. ,"If you disagree with the previous question, what do you think about the content? ",The assignments/projects are directly related to the course content and are not out of scope. ,The assignments/projects successfully measure your acquired knowledge not your copying abilities. ,The project discussions provide helpful notes and evaluation. ,Attending lectures substantially improves your level of understanding of the course content. ,Attending Labs/Classes substantially improves your level of understanding of the course content. ,What would you suggest to enhance your learning experience inside campus? ,How cooperative are the doctors? ,How cooperative are the teaching assistants? ,The doctors and teaching assistants usually use interactive teaching techniques. ,Do you think interactive techniques can improve your performance? ,"According to your major, the faculty provides the best set of courses to qualify you for your desired professional role. ","If you disagree with the previous question, How much do you think this set of courses qualifies you for the role. ","List the courses you think are crucial for your major and not provided by the faculty, if there’s any ","Faculty courses provide you with soft skills like teamwork, communication, etc. ","If you agree to the previous question, list some of these skills. ",Do you think your learning environment can affect your performance? ,The lecture rooms/Labs are clean and organized. ,The lecture rooms/Labs are big enough for the number of students. ,The lecture rooms/Labs have suitable and clear board/screens to present the materials. ,The halls are equipped for gaps and breaks. ,What would you suggest to improve your experience inside campus? ,Rate your overall satisfaction with our faculty courses. ,Semester time is a good period for the courses. ,Interactive learning techniques are effective techniques. ,Teamwork is one of the soft skills can be provided by courses. 
4/26/2023 2:54:02,,20221451378,Data Science,2,Female,2 : 2.9,well enough to pass.,Maybe,Maybe,Maybe,attach it with a video on platforms to explain clearly for be sure on the point ,Disagree.,it is too short for the semester.,Maybe,Maybe,Maybe,Yes,Yes,"previous students should tell us about their experience in our field (courses , training..) for sure if they have enough time","Very cooperative in campus, not so cooperative online.",Always cooperative.,Agree,Yes,Yes,90-100% (agree with the previous question).,not knowing enough ,No,,Yes,Yes,No,Yes,Yes,talking in work and how to be ready for,60-90%,Disagree,Agree,Maybe
4/26/2023 2:56:17,,20201378920,Data Science,3,Female,3.3 : 4,well enough to pass.,Maybe,Disagree,Maybe,To be prepared by the doctor not taken from the internet and to include examples with answers.,Maybe,I agree with the previous question.,Maybe,Maybe,Disagree,No,Yes,Choosing better staff,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,No,30-60%,"Operating systems, Software architecture, data handling, Applying statistics in data science.",No,,Yes,No,No,Yes,No,Reducing the amount of students intake.,30-60%,Maybe,Agree,Disagree
4/26/2023 3:16:03,,😅,Data Science,3,Female,3.3 : 4,well enough to pass.,Maybe,Maybe,Maybe,No,Maybe,I agree with the previous question.,Maybe,Maybe,Maybe,Yes,Yes,Study from many resources online ,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,Yes,90-100% (agree with the previous question).,Teach us how to do practically ,No,,No,No,No,No,No,Study from more than one resources ,60-90%,Maybe,Agree,Agree
4/26/2023 4:55:22,,20201370879,Data Science,3,Male,3 : 3.2,well enough to pass.,Agree,Disagree,Agree,We care about vocational education and stay away from academic education.,Agree.,I agree with the previous question.,Maybe,Agree,Agree,Yes,No,More attention to the labs and practicality.,Always cooperative.,Always cooperative.,Disagree,Yes,No,0-30%,"I work as a software developer not Data scientist . Programming, data structure, algorithm, OOP , mobile development , software engineer , web development ",No,,Yes,Yes,No,Yes,No,"We need cafes, a place to sit and fixed seats other than chairs.",90-100%,Agree,Disagree,Agree
4/26/2023 16:33:48,,20201446416,Data Science,3,Female,3.3 : 4,well enough to pass.,Maybe,Disagree,Maybe,"Increase examples , improving the way of explaining the practical parts",Agree.,I agree with the previous question.,Maybe,Maybe,Agree,Yes,Yes,"Reduce the duration of of lectures&labs 
As I feel that the long the lecture is the more your ability to sum up all that been explained becomes difficult some how, increase practical practice",Always cooperative.,"Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,30-60%,"I think the problem may be the arrangment of the courses across the years as I realized that some courses in our third year could have been taken in our second year , and also rushing in taking the courses for example in our first year we had a lot of courses that were too much and I think that if we just explained some of them in details and good practical practice it would've been better",Yes,"Team work
Leadership
Work under pressure
Communication",Yes,Yes,No,Yes,No,"Increase the activities that help student to be communicate more,
Increase the opportunities of volunteering",30-60%,Agree,Agree,Agree
4/27/2023 1:20:02,,22010394,Data Science,1,Female,3.3 : 4,Very well.,Agree,Agree,Agree,No,Agree.,I agree with the previous question.,Agree,Agree,Agree,Yes,Yes,No,Always cooperative.,Always cooperative.,Agree,Yes,Yes,90-100% (agree with the previous question).,No,Yes,"Critical thinking
Innovation ",Yes,Yes,No,No,No,"Food court, some activities ",60-90%,Maybe,Agree,Agree
4/27/2023 1:22:05,,22010399,Data Science,1,Female,3.3 : 4,well enough to pass.,Agree,Agree,Agree, No,Agree.,I agree with the previous question.,Agree,Agree,Agree,Yes,Yes,More interactive activities ,Always cooperative.,Always cooperative.,Agree,Yes,Yes,90-100% (agree with the previous question).,Problem solving ,Yes,Teamwork ,Yes,Yes,Yes,Yes,Yes,More interactive activities ,90-100%,Agree,Agree,Agree
4/27/2023 1:26:08,,22010336,Data Science,1,Female,2 : 2.9,Very well.,Maybe,Maybe,Maybe,"to have more questions with answers 
to have detailed explanation ",Agree.,I agree with the previous question.,Agree,Agree,Agree,Yes,Yes,making the time of lectures shorter,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,Yes,90-100% (agree with the previous question).,I don't know,Yes,"teamwork, presentational skills",Yes,No,No,Yes,No,to have bigger halls,60-90%,Maybe,Agree,Agree
4/27/2023 1:27:22,,0,Data Science,1,Female,3 : 3.2,well enough to pass.,Maybe,Maybe,Maybe,Yes ,Maybe,I agree with the previous question.,Maybe,Maybe,Maybe,No,No,Nothing,Never cooperative.,Never cooperative.,Some of them,No,No,30-60%,null,No,null,No,No,No,No,No,null,0-30%,Disagree,Disagree,Disagree
4/27/2023 1:30:02,,22010100,Data Science,1,Male,3.3 : 4,Very well.,Maybe,Maybe,Maybe,need more interest of students and following in sections,Maybe,it is too short for the semester.,Maybe,Maybe,Maybe,Yes,Yes,nothing,"Very cooperative online, not so cooperative in campus.","Very cooperative online, not so cooperative in campus.",Some of them,Yes,Yes,30-60%,nothing,Yes,,Yes,Yes,Yes,Yes,Yes,nothing,60-90%,Maybe,Maybe,Maybe
4/27/2023 1:31:17,,22010312,Data Science,1,Male,3 : 3.2,well enough to pass.,Maybe,Agree,Agree,.,Maybe,I agree with the previous question.,Agree,Agree,Agree,Yes,No,.,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,.,Yes,.,Yes,Yes,No,Yes,No,.,30-60%,Maybe,Agree,Agree
4/27/2023 1:39:40,,22010206,Data Science,1,Male,2 : 2.9,well enough to pass.,Agree,Disagree,Agree,no ,Disagree.,It is too long for the semester.,Maybe,Disagree,Maybe,No,Yes,nothing ,Always cooperative.,Never cooperative.,Agree,No,No,90-100% (agree with the previous question).,nothing ,No,,Yes,No,No,No,Yes,nothing ,0-30%,Disagree,Agree,Agree
4/27/2023 1:56:32,,220,Data Science,1,Female,3.3 : 4,well enough to pass.,Maybe,Maybe,Disagree,.,Agree.,I agree with the previous question.,Agree,Disagree,Disagree,Yes,Yes,.,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,No,30-60%,.,Yes,,Yes,Yes,No,No,No,.,60-90%,Maybe,Agree,Agree
4/27/2023 1:57:18,,220,Data Science,1,Female,3.3 : 4,well enough to pass.,Maybe,Maybe,Maybe,make the material clear and we can depend on it as a resource ,Disagree.,it is too short for the semester.,Maybe,Agree,Maybe,Yes,Yes,.,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,Yes,90-100% (agree with the previous question).,.,No,.,Yes,No,No,No,No,.,60-90%,Maybe,Agree,Agree
4/27/2023 2:02:45,,22010284,Data Science,1,Female,2 : 2.9,I don’t understand the theoretical part.,Maybe,Maybe,Maybe,توفير شيتات وامتحانات سابقة للتدريب بشكل كافي,Maybe,It is too long for the semester.,Maybe,Maybe,Agree,Yes,Yes,توفير مصادر للتدريب على شكل أسئلة الامتحانات,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,0-30%,.,Yes,projects - presentation,Yes,No,No,No,No,توفير قاعات ومعامل تكفي عددنا كطلاب - إصلاح الأجهزة التالفة - عمل مدرجات كي تكون قاعات المحاضرات نظيفة ومنظمة,30-60%,Maybe,Agree,Maybe
4/27/2023 2:08:57,,22010093,Data Science,1,Female,3.3 : 4,Very well.,Agree,Agree,Agree,no ,Agree.,I agree with the previous question.,Agree,Agree,Agree,Yes,Yes,trained very good ,Always cooperative.,Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,لا يوجد ,Yes,فريق الجواله والبروكيجت والpresentation ,Yes,Yes,Yes,Yes,Yes,no thing,60-90%,Agree,Agree,Agree
4/27/2023 2:47:48,,2201*****,Data Science,1,Female,3.3 : 4,well enough to pass.,Maybe,Agree,Maybe,To be clear enough and straight to the point not just headlines and I’ve to search a lot to understand the topic,Agree.,I agree with the previous question.,Agree,Maybe,Maybe,Yes,Yes,By making some projects that make us feel that we’re a team in a company or something ,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,No,30-60%,"Related to computer science more than Maths, security , operating systems and so on",No,,Yes,Yes,No,Yes,No,More restaurants/halls for entertainment during uni day ,60-90%,Agree,Agree,Agree
4/27/2023 2:58:01,,22010292,Data Science,1,Female,3.3 : 4,well enough to pass.,Maybe,Disagree,Disagree,"A popular thumb rule teach is generally to imagine you're teaching a 5 year old child , and you try your best to get your point across ( I think this could be applied to studying material too) , using simple language , pretty and explanatory images , add colors and plenty of examples with answers , it would be perfect if there was a section/part to teach students how to approach questions on the given curriculum section. For example I'm teaching integeration to students , so I write a section in my book that goes like this "" if you see a square root , you think of some popular possibilities,  arc-functions is the first,  or..."" like that I would try to teach them how to build their mind to approach questions so they wouldn't feel lost. and most important of all , uploading a worksheet every and each lecture ,answers too should be uploaded for these sheets , because if someone answered a question wrong and wasn't corrected ,that wrong solution will stick with them forever unless corrected, that's why model answer for uploaded sheets is immensely important.  that's my humble opinion/suggestion. ",Agree.,I agree with the previous question.,Agree,Maybe,Agree,Yes,Yes,"Adding places to study , seems weirdly obvious but for some reason there isn't a decent place to study in college , even the newly opened library,  I've never ever seen it open so what's the use really if it's closed 90% of the time? A place for studying,  equipped with the suitable environment for studying,  like peace , tables , comfortable chairs , the place being clean and calmly pleasantly decorated.  Also it should be a vast place not at all small in area .",Always cooperative.,Always cooperative.,Some of them,Yes,Yes,30-60%,I really don't know I'm still year 1 ,Yes,It's still early but they tried to teach us presentation skills and team working so far so I personally think that's quite amazing ,Yes,No,No,Yes,No," kind of hard but we need bigger lecture halls so I suggest to divide the students into more groups because when I'm standing at the lecture hall door for 100 minutes straight  , I really am not paying attention at all , even if i actively want to , quite important also,  better microphones are really trully needed. Also lately eating has been banned in lecture halls , but then where can we sit down and eat our food ? If we can't eat in lecture rooms then we need a big suitable cafeteria with tables to sit in and have our food ",30-60%,Agree,Maybe,Agree
4/27/2023 7:09:38,,22010322,Data Science,1,Female,3.3 : 4,well enough to pass.,Disagree,Disagree,Disagree,No,Disagree.,It is too long for the semester.,Maybe,Disagree,Agree,Yes,No,Better professors,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,Yes,30-60%,Idk,No,,Yes,No,No,Yes,No,Get a building lol,30-60%,Maybe,Maybe,Disagree
4/28/2023 23:58:41,,00000000000,Data Science,2,Female,3 : 3.2,well enough to pass.,Agree,Agree,Maybe,No,Maybe,I agree with the previous question.,Agree,Maybe,Agree,Yes,Yes,.,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,no There isn’t ,Yes,Cooperation ,Yes,Yes,No,Yes,No,I don’t have idea,60-90%,Maybe,Maybe,Agree
4/30/2023 0:36:51,,0,AI,3,Male,Less than 1,Very well.,Maybe,Maybe,Agree,No,Disagree.,It is too long for the semester.,Maybe,Agree,Maybe,Yes,Yes,No suggestions ,Never cooperative.,"Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,30-60%,"Network, operating system ",No,,Yes,Yes,No,No,No,No suggestions ,30-60%,Agree,Maybe,Maybe
4/30/2023 2:31:13,,00000000000,Data Science,1,,3.3 : 4,well enough to pass.,Maybe,Maybe,Maybe,No,Disagree.,It is too long for the semester.,Maybe,Maybe,Disagree,No,No,Nothing ,Always cooperative.,Always cooperative.,Some of them,No,No,30-60%,No,Yes,No,Yes,No,No,No,No,No,30-60%,Disagree,Disagree,Maybe
4/30/2023 6:01:49,,20201446680,Data Science,3,Male,3.3 : 4,well enough to pass.,Disagree,Disagree,Disagree,no,Agree.,I agree with the previous question.,Maybe,Disagree,Maybe,Yes,Yes,Sometimes focus on lectures,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,there's none,Yes,Increases your proficiency in wording your thoughts,Yes,Yes,Yes,Yes,No,A quiet place for reading,30-60%,Agree,Agree,Agree
4/30/2023 19:42:19,,20221375835,Data Science,2,Male,3.3 : 4,Very well.,Maybe,Maybe,Maybe,Providing up-to-date curriculum,Agree.,I agree with the previous question.,Agree,Maybe,Agree,Yes,Yes,Taking online courses.,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,30-60%,"Deep Learning 
Neural Networks
Natural Language Processing",No,,Yes,Yes,Yes,Yes,Yes,Maybe not going too hard on yourself.,30-60%,Agree,Agree,Disagree
4/30/2023 21:04:50,,20201476313,Data Science,3,Female,3 : 3.2,well enough to pass.,Maybe,Maybe,Maybe,Search for the latest articles in our field,Agree.,I agree with the previous question.,Agree,Maybe,Maybe,Yes,No,NA,Always cooperative.,Always cooperative.,Some of them,Yes,No,30-60%,Improve the content ,No,I disagree ,Yes,Yes,No,Yes,No,Move our college ,60-90%,Agree,Agree,Disagree
4/30/2023 21:23:56,,20201371093,Data Science,3,Female,3 : 3.2,well enough to pass.,Maybe,Disagree,Disagree,No,Maybe,It is too long for the semester.,Maybe,Agree,Agree,No,Yes,...,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,No,30-60%,....,No,,Yes,No,No,No,No,Doctors  should lead us to the correct way of studying and provide us with a reliable materials ,30-60%,Maybe,Maybe,Agree
4/30/2023 22:12:18,,20201381733,Data Science,3,Female,3.3 : 4,well enough to pass.,Maybe,Disagree,Maybe,No,Maybe,I agree with the previous question.,Agree,Agree,Agree,Yes,Yes,"Formation of a community of people who have the same goal in order to study, advise, encourage and work together.",Always cooperative.,Always cooperative.,Some of them,Yes,No,30-60%,I don't know,Yes,,Yes,Yes,No,Yes,No,"communicate with people , make  projects and ask for advice from other people. ",30-60%,Maybe,Agree,Agree
5/1/2023 20:26:01,,20201472484,Data Science,3,Female,2 : 2.9,well enough to pass.,Agree,Maybe,Disagree,To make the practical part taking the biggest part of the content,Disagree.,It is too long for the semester.,Maybe,Disagree,Maybe,Yes,Yes,Giving tasks at the labs and classes ,Always cooperative.,Always cooperative.,Some of them,Yes,No,0-30%,Business Intelligence,Yes,"Critical thinking,brain storming ",Yes,Yes,No,Yes,No,Make more tasks And let students to ask more questions even it's not related to the topic they are talking about,30-60%,Disagree,Agree,Maybe
5/1/2023 23:09:50,,20207539512,Data Science,3,Female,3 : 3.2,well enough to pass.,Maybe,Maybe,Maybe,Online courses ,Agree.,I agree with the previous question.,Maybe,Agree,Maybe,Yes,Yes,"Forimg teamwork to more communication

","Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Agree,Yes,No,60-90%,Robot technology ,Yes,Communication ,Yes,Yes,Yes,Yes,No,Forimg teamwork to more communication ,60-90%,Maybe,Agree,Agree
5/1/2023 23:22:26,,🙃,Data Science,4,Male,2 : 2.9,Very well.,Disagree,Disagree,Maybe,Provide material that's new and useful a course is deemed obsolete after 5 years while some of the courses here are 20 years old,Disagree.,it is too short for the semester.,Agree,Disagree,Disagree,No,No,Having trained staff or at least a staff that knows the contents of courses ,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Disagree,Yes,No,0-30%,ML ops / ML engineering ,No,,Yes,Yes,Yes,Yes,Yes,Trees and gardens like the faculty of engineering ,30-60%,Maybe,Maybe,Agree
5/1/2023 23:27:17,,.,Data Science,3,Male,3.3 : 4,well enough to pass.,Agree,Disagree,Disagree,to be will prepared by doctors or assistants not only copy and paste like 90% percent of college staff,Maybe,It is too long for the semester.,Agree,Disagree,Disagree,Yes,No,acquire proffesional staff ,Never cooperative.,Always cooperative.,Some of them,Yes,No,0-30%,the courses are good but course content and the way of teaching it is terrible ,No,,Yes,No,No,Yes,No,another building ,0-30%,Maybe,Agree,Agree
5/1/2023 23:45:22,,22010075,Data Science,1,Male,3.3 : 4,well enough to pass.,Agree,Agree,Maybe,provide video tutorials,Maybe,It is too long for the semester.,Agree,Agree,Agree,Yes,Yes,عدم الاجبار على الحضور في القاعة,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Agree,Yes,No,30-60%,I think there is not any,Yes,teamwork,Yes,No,No,No,No,عدم الاجبار على الحضور في القاعة,30-60%,Maybe,Agree,Agree
5/1/2023 23:53:19,,20201497770,Data Science,3,Male,3.3 : 4,well enough to pass.,Agree,Agree,Maybe,To be interact,Agree.,It is too long for the semester.,Agree,Agree,Agree,Yes,Yes,To be online ,"Very cooperative in campus, not so cooperative online.","Very cooperative online, not so cooperative in campus.",Agree,Yes,Yes,0-30%,Idk,Yes,"Communication, presentation ",Yes,Yes,Yes,Yes,Yes,To be online ,0-30%,Agree,Agree,Agree
5/2/2023 2:06:38,,2019566748,Media,4,Male,3.3 : 4,well enough to pass.,Maybe,Disagree,Maybe,It is up to doctors actually ,Maybe,it is too short for the semester.,Maybe,Maybe,Maybe,No,Yes,"Upgrade the labs
Assignment the suitable doctor with the suitable course","Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Disagree,Yes,No,0-30%,None,No,,Yes,No,Yes,No,Yes,So many things but lazy to list it,30-60%,Agree,Agree,Maybe
5/2/2023 4:30:39,,20191567610,Data Science,4,Male,3.3 : 4,Very well.,Maybe,Maybe,Disagree,"To always share the material mentioned in the lectures/sections, also to mention the materials source for students to ease the learning process through assignments, which is better than giving the assignment with few/no explanation whatsoever.",Agree.,I agree with the previous question.,Maybe,Disagree,Disagree,Yes,Yes,Have more links between what we learn and how to use it in real life problems,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Agree,Yes,No,0-30%,"-(Problem Solving skills) related ourses
-Data Science using Excel,PowerBI and other mainstream programs",Yes,"commiting to Deadlines
Managerial skills if you happened to be a team leader
Adaptive skills if you ever faced an error mid-discussion of the finished project",Yes,No,No,Yes,No,انشاءلله مفيش experience تانى ليا inside campus بعد الترم ده😬🤝,0-30%,Agree,Agree,Maybe
5/2/2023 23:50:12,,22011438,Data Science,1,Female,3.3 : 4,well enough to pass.,Agree,Maybe,Disagree,Organizing the materils.. and clarifying the concepts,Maybe,It is too long for the semester.,Maybe,Agree,Agree,Yes,Yes,Get more accurate information from doctors,Always cooperative.,Always cooperative.,Some of them,Yes,No,30-60%,nothing,Yes,,Yes,Yes,Yes,Yes,Yes,Get more accurate information from doctors,30-60%,Maybe,Agree,Agree
5/3/2023 0:12:40,,5555555,AI,4,Female,Less than 1,I don’t understand the theoretical part.,Disagree,Disagree,Disagree,بص حضرتك اصل ده مسألة فيها نقاش كبير وآراء كتيرة وكل واحد ليه وجهة نظره بس المفروض بقا نناقشها كلها ونشوف انسب وجهة نظر تنفع للكل وفعلا حيكون ليها أثر ملحوظ فالتعليم ونطبقها فالدولاب 👌,Disagree.,it is too short for the semester.,Disagree,Disagree,Disagree,No,No,ان احنا نزود ثقافتنا فالصورة ونفهم بقا ان ميسى افضل من كريستيانو ,Never cooperative.,Never cooperative.,Disagree,No,No,90-100% (agree with the previous question).,بصراحة حاسس كورس العجوة مالوش اى لازمة بصراحة الملبن احلى,No,انا بصراحة عندى موهبة خارقة وفعلا أقدر افيد بيها المجتمع بس لسا عايز اكتشفها جوايا,No,No,No,No,No,اقتراحى نبغى التعليم اساسا لو حيزنى امبروف الخبرات لا مانا حمبروف حاجة واحدة الإنسان برده ليه طاقة ,0-30%,Disagree,Disagree,Disagree
5/3/2023 0:26:16,,2022,Data Science,2,Male,3.3 : 4,I don’t understand the theoretical part.,Disagree,Disagree,Disagree,"Yeah, by providing solid references and assigning chapters for us to read.",Disagree.,it is too short for the semester.,Disagree,Disagree,Disagree,No,No,Optional attendance ,Never cooperative.,"Very cooperative in campus, not so cooperative online.",Disagree,Yes,No,30-60%,"Design patterns, Data security, encryption, hardware architecture, software architecture, ethics and history of computers.",No,,Yes,No,No,No,No,"Providing comfortable chairs, a small cafétéria",0-30%,Disagree,Agree,Agree
